Daily.Summary,Avg Temperature (CÂº) by Type of Day,Avg Humidity by Type of Day,Avg Visibility by Type of Day
Breezy and mostly cloudy overnight.,6.805555556,0.74,15.0052
Breezy and partly cloudy in the afternoon.,23.86666667,0.45,15.8263
Breezy in the morning and mostly cloudy starting in the evening.,1.061111111,0.75,0
Breezy in the morning and mostly cloudy starting in the morning.,12.17222222,0.52,9.982
Breezy overnight and mostly cloudy throughout the day.,-1.127777778,0.77,14.8764
Breezy overnight and overcast throughout the day.,10,0.86,11.27
Breezy starting in the afternoon continuing until evening and foggy in the evening.,-2.972222222,0.72,7.2128
Breezy starting overnight continuing until morning and partly cloudy starting in the morning.,1.463888889,0.585,13.08125
Breezy starting overnight continuing until morning.,-2.7,0.53,0
Breezy until evening and foggy in the morning.,1.133333333,0.91,4.991
Breezy until morning and mostly cloudy throughout the day.,9.972222222,0.83,11.2056
Clear throughout the day.,15.3444444437778,0.666666666666667,11.3272444444444
Foggy in the afternoon.,4.988888889,0.96,3.53395
Foggy in the evening.,5.53611111,0.87,6.9874
Foggy in the morning.,7.82159090940909,0.832045454545455,7.87180227272727
Foggy overnight.,9.476111111,0.855,7.70546
Foggy starting in the afternoon continuing until evening.,0.15694444425,0.9325,4.842075
Foggy starting in the afternoon continuing until night.,0.222222222333333,0.903333333333333,4.04646666666667
Foggy starting in the afternoon.,-0.5255555554,0.916,3.7513
Foggy starting in the evening continuing until night.,-0.077777778,0.94,1.932
Foggy starting in the evening.,5.78479532210526,0.825263157894737,7.92713157894737
Foggy starting in the morning continuing until afternoon.,1.91031746014286,0.921428571428571,7.452
Foggy starting in the morning continuing until evening and breezy in the evening.,-2.3,0.76,0
Foggy starting in the morning continuing until evening.,1.3666666665,0.82,10.6582
Foggy starting in the morning continuing until night.,-8.712962963,0.876666666666667,1.99103333333333
Foggy starting in the morning.,1.0444444445,1,0.33005
Foggy starting overnight continuing until afternoon.,-5.84444444425,0.9275,2.7692
Foggy starting overnight continuing until evening.,-0.131481481666667,0.946666666666667,2.6565
Foggy starting overnight continuing until morning.,7.20270270232432,0.847297297297297,6.56575405405405
Foggy starting overnight continuing until night.,2.9700000002,0.916,2.80462
Foggy starting overnight.,-2.888888889,0.93,0.3059
Foggy throughout the day.,-0.280246913555556,0.977777777777778,0.583177777777778
Foggy until afternoon.,-2.522222222,0.995,0.23345
Foggy until evening.,-5.68055555675,0.93,1.7388
Foggy until morning.,7.42941176464706,0.872941176470588,5.58622647058824
Foggy until night.,-0.349999999833333,0.961666666666667,2.42305
Light rain until morning.,9.588888889,0.94,16.1
Mostly cloudy overnight.,-1.844444444,0.68,14.9569
Mostly cloudy starting in the afternoon.,17.73333333,0.41,9.982
Mostly cloudy starting in the morning and breezy in the afternoon.,18.333333335,0.585,9.982
Mostly cloudy starting in the morning continuing until night.,19.78611111,0.645,12.9605
Mostly cloudy starting in the morning.,8.88247863292308,0.649230769230769,11.6799307692308
Mostly cloudy starting overnight and breezy in the morning.,5.577777778,0.83,14.812
Mostly cloudy starting overnight and breezy starting in the morning continuing until afternoon.,11.66666667,0.5,16.1
Mostly cloudy starting overnight continuing until evening.,16.29166667,0.58,10.1752
Mostly cloudy starting overnight continuing until night.,14.677777779,0.666666666666667,10.6796666666667
Mostly cloudy starting overnight.,9.510416666625,0.76125,14.1217125
Mostly cloudy throughout the day and breezy in the afternoon.,13.0074074093333,0.656666666666667,12.0535333333333
Mostly cloudy throughout the day and breezy in the evening.,0.944444444,0.86,9.7083
Mostly cloudy throughout the day and breezy in the morning.,8.6388888865,0.765,10.4972
Mostly cloudy throughout the day and breezy starting in the afternoon.,-0.127777778,0.76,14.9569
Mostly cloudy throughout the day and breezy starting in the evening.,5.766666667,0.88,11.14925
Mostly cloudy throughout the day and breezy starting in the morning continuing until night.,4.3083333335,0.83,13.0893
Mostly cloudy throughout the day and breezy starting overnight continuing until morning.,11.66666667,0.77,15.134
Mostly cloudy throughout the day.,12.1644685990913,0.765913043478261,11.05405
Mostly cloudy until afternoon.,3.077777778,0.823333333333333,6.83713333333333
Mostly cloudy until evening and breezy in the afternoon.,3.933333333,0.6,15.5526
Mostly cloudy until evening and breezy starting overnight continuing until morning.,14.88333333,0.63,9.982
Mostly cloudy until evening and windy starting in the morning continuing until afternoon.,5.155555556,0.82,6.1985
Mostly cloudy until evening.,13.406250001125,0.73375,12.747175
Mostly cloudy until night and breezy in the evening.,13.780555556,0.55,10.2879
Mostly cloudy until night and breezy starting in the evening.,20.96111111,0.42,11.27
Mostly cloudy until night.,11.8878306880952,0.742380952380952,11.7016333333333
Overcast throughout the day and breezy in the morning.,0.555555556,0.82,16.1
Overcast throughout the day and breezy starting in the evening.,7.666666667,0.96,8.1949
Overcast throughout the day and breezy starting in the morning continuing until evening.,8.888888889,0.82,9.982
Overcast throughout the day.,8.452173914,0.860434782608696,9.3695
Overcast until evening.,4.3266666668,0.888,9.64712
Overcast until night.,0.553703704,0.92,9.4024
Partly cloudy in the afternoon.,2.036111111,0.895,10.2557
Partly cloudy in the evening.,21.28148148,0.521666666666667,11.0660666666667
Partly cloudy in the morning.,17.291111112,0.57,13.48858
Partly cloudy overnight.,20.46888889,0.56,14.56084
Partly cloudy starting in the afternoon continuing until evening.,17.6614197540556,0.623333333333333,12.6483388888889
Partly cloudy starting in the afternoon continuing until night.,20.8555555566667,0.536666666666667,11.9301
Partly cloudy starting in the afternoon.,18.3944444442222,0.671666666666667,12.7503055555556
Partly cloudy starting in the evening.,12.591666667,0.64,12.35675
Partly cloudy starting in the morning continuing until afternoon.,-1.2083333335,0.8,9.94175
Partly cloudy starting in the morning continuing until evening.,14.6731111114,0.662,11.461268
Partly cloudy starting in the morning continuing until night and breezy starting in the afternoon continuing until evening.,8.422222222,0.48,15.8263
Partly cloudy starting in the morning continuing until night and breezy starting in the morning continuing until afternoon.,14.44444444,0.75,15.1501
Partly cloudy starting in the morning continuing until night.,16.5176767682727,0.661818181818182,11.9447363636364
Partly cloudy starting in the morning.,17.2181623931346,0.654230769230769,12.2273307692308
Partly cloudy starting overnight continuing until afternoon.,4.944444444,0.59,10.3523
Partly cloudy starting overnight continuing until evening.,11.7694444439,0.69,11.40524
Partly cloudy starting overnight continuing until morning.,13.63194444375,0.6225,13.75745
Partly cloudy starting overnight continuing until night.,15.5571428557143,0.685714285714286,11.6288
Partly cloudy starting overnight.,14.1377192984211,0.683684210526316,12.9621947368421
Partly cloudy throughout the day and breezy in the evening.,16.11111111,0.87,15.134
Partly cloudy throughout the day and breezy starting in the afternoon continuing until evening.,15.0944444433333,0.736666666666667,14.1841
Partly cloudy throughout the day and breezy starting in the morning continuing until afternoon.,15.8851851861667,0.501666666666667,11.27805
Partly cloudy throughout the day and windy starting in the morning continuing until afternoon.,9.85,0.66,16.1
Partly cloudy throughout the day.,17.0790509259167,0.658541666666667,12.2658520833333
Partly cloudy until evening and breezy in the afternoon.,7.927777778,0.89,10.1752
Partly cloudy until evening and breezy in the morning.,-1.388888889,0.96,8.05
Partly cloudy until evening and breezy starting in the morning continuing until afternoon.,2.833333333,0.8,14.9569
Partly cloudy until evening and breezy starting in the morning continuing until evening.,16.208333335,0.36,12.9444
Partly cloudy until evening.,16.1302083329688,0.6265625,12.1092125
Partly cloudy until morning.,11.46111111275,0.615,13.866125
Partly cloudy until night and breezy starting in the morning continuing until afternoon.,4.4555555555,0.625,13.2986
Partly cloudy until night.,19.0292929290606,0.664545454545455,11.9222939393939
Rain until morning.,6.544444444,0.82,11.8979
